Datum: 27.07.2015 14:57
_KM.M____   RK1-i    RYCH   SL_D1   SP_D1   SK_D2   K70-i   PKcel   ZKS_%   ZKS_b   VK_D2   VL_D1   VP_D1
000.00675    2.15   33.30    2.25    1.74    0.00    0.02    2.19   25.58    3.00    0.00   -1.44   -0.73
000.007      2.35   33.30    2.27    1.67    0.00    0.02    1.66   24.92    3.00    0.00   -1.89   -0.86
000.00725    2.53   33.30    2.23    1.60    0.00    0.02    1.29   23.50    3.00    0.00   -2.22   -0.91
000.00750    2.62   33.30    2.20    1.57    0.00    0.02    1.12   21.83    3.00    0.00   -2.46   -0.91
000.00775    2.60   33.30    2.21    1.56    0.00    0.02    1.07   19.75    3.00    0.00   -2.57   -0.88
000.008      2.52   33.30    2.28    1.55    0.00    0.02    0.95   17.33    3.00    0.00   -2.58   -0.81
000.00825    2.44   33.30    2.40    1.53    0.00    0.02    0.92   14.75    3.00    0.00   -2.50   -0.71
000.00850    2.37   33.30    2.50    1.49    0.00    0.02    0.71   12.93    9.00    0.00   -2.38   -0.60
000.00875    2.33   33.30    2.50    1.39    0.00    0.02    0.61   12.17   10.50    0.00   -2.23   -0.47
000.009      2.31   33.30    2.35    1.24    0.00    0.02    0.50   12.74   12.00    0.00   -2.08   -0.33
000.00925    2.30   33.30    2.07    1.03    0.00    0.02    0.54   12.34   12.00    0.00   -1.95   -0.21
000.00950    2.24   33.30    1.71    0.77    0.00    0.02    0.40   11.98   12.00    0.00   -1.83   -0.12
000.00975    2.15   33.30    1.35    0.48    0.00    0.02    0.34   12.78   13.50    0.00   -1.72   -0.07
000.010      2.12   33.30    1.03    0.19    0.00    0.02    0.28   12.37   13.50    0.00   -1.59   -0.05
000.01025    2.13   33.30    0.74   -0.08    0.00    0.02    0.42   12.07   13.50    0.00   -1.46   -0.06
000.01050    2.12   33.30    0.46   -0.28    0.00    0.02    0.54   12.63   15.00    0.00   -1.31   -0.11
000.01075    2.02   33.30    0.15   -0.40    0.00    0.02    0.76   12.43   15.00    0.00   -1.16   -0.19
000.011      1.78   33.30   -0.20   -0.45    0.00    0.02    1.03   12.30   15.00    0.00   -1.00   -0.28
000.01125    1.44   33.30   -0.53   -0.44    0.00    0.02    1.26   12.97   16.50    0.00   -0.86   -0.38
000.01150    1.04   33.30   -0.81   -0.41    0.00    0.02    1.45   12.67   16.50    0.00   -0.72   -0.48
000.01175    0.57   33.30   -1.01   -0.37    0.00    0.02    1.50   12.42   16.50    0.00   -0.57   -0.56
000.012      0.21   33.30   -1.12   -0.32    0.00    0.02    1.57   12.22   18.00    0.00   -0.42   -0.63
000.01225   -0.05   33.30   -1.17   -0.27    0.00    0.02    1.68   11.75    3.00   -0.26   -0.28   -0.66
000.01250   -0.29   33.30   -1.22   -0.23    0.03    0.02    1.76   11.19   18.00   -0.29   -0.16   -0.68
000.01275   -0.44   33.30   -1.27   -0.18    0.06    0.02    1.84   10.58   18.00   -0.31   -0.08   -0.69
000.013     -0.55   33.30   -1.31   -0.15    0.09    0.02    1.98    9.92   18.00   -0.34   -0.03   -0.68
000.01325   -0.64   33.30   -1.32   -0.12    0.11    0.02    2.13    9.23   19.50   -0.37    0.02   -0.67
000.01350   -0.68   33.30   -1.28   -0.12    0.14    0.02    2.20    8.67   19.50   -0.40    0.10   -0.67
000.01375   -0.64   33.30   -1.20   -0.16    0.16    0.02    2.32    8.08   19.50   -0.43    0.19   -0.67
000.014     -0.54   33.30   -1.08   -0.22    0.18    0.02    2.48    7.54   19.50   -0.45    0.30   -0.68
000.01425   -0.35   33.30   -0.96   -0.31    0.20    0.02    2.47    6.90   19.50   -0.48    0.40   -0.68
000.01450   -0.13   33.30   -0.84   -0.41    0.21    0.02    2.47    6.26   19.50   -0.51    0.47   -0.68
000.01475    0.04   33.30   -0.72   -0.49    0.23    0.02    2.36    5.59   19.50   -0.54    0.52   -0.65
000.015      0.15   33.30   -0.60   -0.52    0.24    0.02    2.27    5.08   19.50   -0.57    0.54   -0.61
000.01525    0.19   33.30   -0.50   -0.48    0.25    0.02    2.27    4.51   19.50   -0.59    0.54   -0.55
000.01550    0.15   33.30   -0.43   -0.39    0.26    0.02    2.23    3.79   19.50   -0.62    0.54   -0.49
000.01575    0.01   33.30   -0.38   -0.27    0.27    0.02    2.14    3.42    3.00   -0.64    0.52   -0.44
000.016     -0.11   33.30   -0.34   -0.16    0.28    0.02    2.06    3.92    3.00   -0.67    0.48   -0.42
000.01625   -0.21   33.30   -0.28   -0.07    0.28    0.02    2.03    4.42    3.00   -0.69    0.42   -0.43
000.01650   -0.23   33.30   -0.18   -0.04    0.29    0.02    2.07    4.95    6.00   -0.71    0.33   -0.48
000.01675   -0.18   33.30   -0.00   -0.06    0.29    0.02    2.10    5.57    6.00   -0.73    0.22   -0.55
000.017      0.02   33.30    0.23   -0.12    0.29    0.03    2.09    6.04    6.00   -0.75    0.09   -0.62
000.01725    0.29   33.30    0.47   -0.23    0.29    0.03    1.98    6.41    6.00   -0.77   -0.04   -0.68
000.01750    0.59   33.30    0.70   -0.35    0.28    0.03    1.91    6.51    6.00   -0.79   -0.16   -0.71
000.01775    0.91   33.30    0.86   -0.46    0.28    0.03    1.80    6.67    3.00   -0.80   -0.23   -0.70
000.018      1.16   33.30    0.93   -0.54    0.27    0.03    1.71    6.92    3.00   -0.82   -0.26   -0.64
000.01825    1.22   33.30    0.90   -0.55    0.26    0.03    1.65    7.00    3.00   -0.83   -0.23   -0.55
000.01850    1.19   33.30    0.82   -0.51    0.26    0.03    1.54    7.00    3.00   -0.84   -0.20   -0.45
000.01875    1.07   33.30    0.72   -0.43    0.25    0.03    1.48    6.83    3.00   -0.84   -0.16   -0.34
000.019      0.82   33.30    0.64   -0.32    0.23    0.03    1.37    6.83   18.00   -0.85   -0.14   -0.22
000.01925    0.57   33.30    0.58   -0.20    0.22    0.03    1.25    6.78   18.00   -0.85   -0.14   -0.11
000.01950    0.41   33.30    0.54   -0.10    0.21    0.03    1.15    6.56   18.00   -0.86   -0.16   -0.01
000.01975    0.23   33.20    0.46    0.00    0.19    0.03    1.12    6.22   18.00   -0.86   -0.17    0.09
000.020     -0.01   33.20    0.33    0.12    0.18    0.03    1.05    5.75   18.00   -0.85   -0.17    0.19
000.02025   -0.27   33.20    0.14    0.24    0.16    0.03    1.09    5.14   18.00   -0.85   -0.15    0.27
000.02050   -0.57   33.20   -0.07    0.36    0.15    0.04    1.04    4.47   18.00   -0.84   -0.14    0.34
000.02075   -0.97   33.20   -0.26    0.47    0.13    0.04    1.10    3.79   16.50   -0.83   -0.13    0.38
000.021     -1.27   33.20   -0.39    0.54    0.11    0.04    1.04    3.33   16.50   -0.82   -0.13    0.40
000.02125   -1.51   33.20   -0.44    0.54    0.10    0.04    1.09    3.17    3.00   -0.80   -0.13    0.40
000.02150   -1.65   33.20   -0.41    0.48    0.08    0.04    1.15    4.17    3.00   -0.79   -0.14    0.40
000.02175   -1.64   33.20   -0.33    0.37    0.06    0.04    1.19    4.92    3.00   -0.77   -0.12    0.40
000.022     -1.46   33.20   -0.22    0.22    0.04    0.04    1.31    5.50    3.00   -0.75   -0.07    0.41
000.02225   -1.31   33.20   -0.09    0.06    0.02    0.04    1.41    5.83    3.00   -0.72    0.02    0.41
000.02250   -1.09   33.20    0.02   -0.07    0.01    0.04    1.51    6.08    3.00   -0.70    0.13    0.42
000.02275   -0.82   33.20    0.12   -0.17    0.00    0.04    1.57    6.08    3.00   -0.67    0.25    0.43
000.023     -0.63   33.20    0.21   -0.24   -0.02    0.05    1.71    6.33    1.50   -0.64    0.35    0.42
000.02325   -0.47   33.20    0.29   -0.26   -0.04    0.05    1.78    6.44    9.00   -0.61    0.41    0.41
000.02350   -0.32   33.20    0.38   -0.23   -0.05    0.05    1.78    7.24    9.00   -0.57    0.43    0.41
000.02375   -0.25   33.20    0.45   -0.17   -0.07    0.05    1.79    7.95    7.50   -0.54    0.41    0.41
000.024     -0.26   33.20    0.48   -0.08   -0.09    0.05    1.85    8.57    7.50   -0.50    0.38    0.42
000.02425   -0.30   33.20    0.44    0.01   -0.10    0.05    1.88    9.05    7.50   -0.46    0.35    0.45
000.02450   -0.44   33.20    0.35    0.11   -0.12    0.05    1.89    9.33    7.50   -0.42    0.36    0.48
