_KM.M____   RK1-i    RYCH   SL_D1   SP_D1   SK_D2   K70-i   PKcel   ZKS_%   ZKS_b   VK_D2   VL_D1   VP_D1
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.87   19.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.83   19.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.03   19.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.01   19.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.87   16.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.61   16.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.68   16.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.77   16.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.29   16.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.94   16.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.85   16.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.64   16.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.49   18.00    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.19   18.00    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.89   18.00    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.52   18.00    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00   -0.48   -0.09    0.00    0.00    0.00    0.00    1.50    0.00    0.29    0.22
000.000      0.14    0.00   -0.85   -0.25    0.00    0.00    0.00    0.00    1.50    0.00    0.69    0.54
000.00025    0.53   33.30   -1.11   -0.47    0.00    0.13    6.09    0.00    1.50    0.00    1.19    0.95
000.00050    1.02   33.30   -1.32   -0.79    0.00    0.13    6.01    0.00    1.50    0.00    1.78    1.44
000.00075    1.59   33.30   -1.53   -1.17    0.00    0.13    5.93    0.00    1.50    0.00    2.44    1.97
000.001      2.16   33.30   -1.30   -1.50    0.00    0.13    5.75    0.00    1.50    0.00    2.88    2.34
000.00125    2.57   33.30   -1.22   -1.82    0.00    0.13    5.94    0.00    1.50    0.00    3.28    2.63
000.00150    2.74   33.30   -1.28   -2.10    0.00    0.13    6.02    0.00    1.50    0.00    3.65    2.88
000.00175    2.80   33.30   -1.42   -2.33    0.00    0.13    5.85    0.00    1.50    0.00    3.96    3.10
000.002      2.83   33.30   -1.57   -2.50    0.00    0.13    5.83    0.00    1.50    0.00    4.18    3.28
000.00225    2.90   33.30   -1.69   -2.60    0.00    0.12    5.83    0.00    1.50    0.00    4.25    3.40
000.00250    2.99   33.30   -1.80   -2.60    0.00    0.12    5.96    0.00    1.50    0.00    4.16    3.43
000.00275    2.93   33.30   -1.90   -2.47    0.00    0.12    5.40    0.00    1.50    0.00    3.93    3.35
000.003      2.80   33.30   -1.98   -2.22    0.00    0.12    5.58    0.00    1.50    0.00    3.62    3.21
000.00325    2.56   33.30   -2.02   -1.88    0.00    0.12    5.11   10.17    3.00    0.00    3.33    3.04
000.00350    2.25   33.30   -1.99   -1.53    0.00    0.12    5.15   11.67    3.00    0.00    3.13    2.94
000.00375    1.96   33.30   -1.90   -1.20    0.00    0.12    5.06   12.17    3.00    0.00    3.06    2.92
000.004      1.84   33.30   -1.77   -0.93    0.00    0.12    4.76   13.83    3.00    0.00    3.10    2.98
000.00425    1.77   33.30   -1.65   -0.70    0.00    0.12    4.59   11.61    4.50    0.00    3.20    3.07
000.00450    1.68   33.30   -1.58   -0.51    0.00    0.12    4.48   14.00    3.00    0.00    3.31    3.15
000.00475    1.52   33.30   -1.55   -0.34    0.00    0.12    4.56   15.50    4.50    0.00    3.38    3.15
000.005      1.29   33.30   -1.51   -0.18    0.00    0.12    4.36   14.58    3.00    0.00    3.37    3.06
000.00525    1.02   33.30   -1.37    0.00    0.00    0.12    4.47   24.00    7.50    0.00    3.29    2.88
000.00550    0.92   33.30   -1.10    0.18    0.00    0.12    4.40   24.17    6.00    0.00    3.13    2.63
000.00575    1.00   33.30   -0.66    0.40    0.00    0.12    4.17   24.10    7.50    0.00    2.87    2.32
000.006      1.18   33.30   -0.12    0.66    0.00    0.12    4.13   25.10    6.00    0.00    2.49    1.95
000.00625    1.42   33.30    0.46    0.95    0.00    0.12    4.21   25.38    7.50    0.00    1.97    1.51
000.00650    1.75   33.30    0.99    1.25    0.00    0.11    3.97   24.58    6.00    0.00    1.34    1.02
000.00675    1.97   33.30    1.43    1.51    0.00    0.11    3.96   24.86    7.50    0.00    0.62    0.49
000.007      2.12   33.30    1.77    1.69    0.00    0.11    3.46   24.83    3.00    0.00   -0.14   -0.04
000.00725    2.28   33.30    2.02    1.79    0.00    0.11    3.01   25.92    3.00    0.00   -0.89   -0.51
000.00750    2.47   33.30    2.21    1.83    0.00    0.11    2.41   26.17    3.00    0.00   -1.56   -0.87
000.00775    2.63   33.30    2.34    1.82    0.00    0.11    1.89   25.83    3.00    0.00   -2.12   -1.11
000.008      2.78   33.30    2.41    1.79    0.00    0.11    1.50   24.75    3.00    0.00   -2.51   -1.20
000.00825    2.87   33.30    2.44    1.75    0.00    0.11    1.31   23.00    3.00    0.00   -2.73   -1.17
000.00850    2.84   33.30    2.47    1.74    0.00    0.11    1.16   22.00    1.50    0.00   -2.79   -1.07
000.00875    2.75   33.30    2.50    1.73    0.00    0.11    1.08   18.92    3.00    0.00   -2.73   -0.93
000.009      2.65   33.30    2.56    1.72    0.00    0.11    1.07   16.08    3.00    0.00   -2.60   -0.78
000.00925    2.56   33.30    2.60    1.70    0.00    0.11    0.90   13.54    6.00    0.00   -2.43   -0.64
000.00950    2.54   33.30    2.58    1.66    0.00    0.11    0.64   12.23   15.00    0.00   -2.29   -0.51
000.00975    2.57   33.30    2.46    1.57    0.00    0.11    0.67   13.15   13.50    0.00   -2.18   -0.38
000.010      2.60   33.30    2.25    1.41    0.00    0.11    0.53   12.93   15.00    0.00   -2.09   -0.26
000.01025    2.63   33.30    1.96    1.17    0.00    0.11    0.50   12.33   13.50    0.00   -2.00   -0.14
000.01050    2.60   33.30    1.66    0.88    0.00    0.11    0.44   12.73   15.00    0.00   -1.92   -0.06
000.01075    2.52   33.30    1.36    0.56    0.00    0.11    0.48   12.91   16.50    0.00   -1.81   -0.02
000.011      2.53   33.30    1.06    0.25    0.00    0.11    0.47   12.07   15.00    0.00   -1.68   -0.03
000.01125    2.51   33.30    0.72    0.00    0.00    0.11    0.63   13.06   16.50    0.00   -1.53   -0.11
000.01150    2.35   33.30    0.34   -0.16    0.00    0.11    0.86   13.22   18.00    0.00   -1.38   -0.23
000.01175    2.07   33.30   -0.07   -0.26    0.00    0.11    1.06   12.67   16.50    0.00   -1.21   -0.37
000.012      1.76   33.30   -0.45   -0.30    0.00    0.11    1.33   12.97   18.00    0.00   -1.05   -0.49
000.01225    1.33   33.30   -0.75   -0.31   -0.01    0.11    1.61   12.61   18.00   -0.18   -0.87   -0.56
000.01250    0.85   33.30   -0.96   -0.32    0.01    0.11    1.58   12.75    3.00   -0.20   -0.69   -0.59
000.01275    0.41   33.30   -1.10   -0.34    0.03    0.11    1.60   12.58    3.00   -0.22   -0.50   -0.58
000.013      0.14   33.30   -1.21   -0.35    0.06    0.11    1.81   12.17    3.00   -0.24   -0.32   -0.56
000.01325   -0.12   33.30   -1.32   -0.33    0.09    0.11    1.93   11.50    3.00   -0.26   -0.17   -0.54
000.01350   -0.32   33.30   -1.45   -0.30    0.11    0.11    2.02   11.00    1.50   -0.28   -0.08   -0.55
000.01375   -0.47   33.30   -1.54   -0.24    0.13    0.11    2.10   10.00    1.50   -0.31   -0.02   -0.58
000.014     -0.56   33.30   -1.55   -0.17    0.15    0.11    2.26    9.18   16.50   -0.33    0.02   -0.62
000.01425   -0.59   33.30   -1.45   -0.12    0.17    0.11    2.29    8.70   16.50   -0.36    0.07   -0.66
000.01450   -0.54   33.30   -1.29   -0.11    0.19    0.11    2.46    8.06   16.50   -0.38    0.16   -0.68
000.01475   -0.46   33.30   -1.10   -0.16    0.21    0.11    2.59    7.36   18.00   -0.41    0.27   -0.69
000.015     -0.27   33.30   -0.95   -0.26    0.22    0.11    2.64    6.86   18.00   -0.44    0.37   -0.70
000.01525   -0.04   33.30   -0.84   -0.38    0.23    0.11    2.68    6.41   19.50   -0.46    0.43   -0.70
000.01550    0.14   33.30   -0.79   -0.50    0.24    0.11    2.60    6.21   19.50   -0.49    0.46   -0.70
000.01575    0.23   33.30   -0.74   -0.57    0.25    0.11    2.42    5.85   19.50   -0.51    0.47   -0.69
000.016      0.27   33.30   -0.67   -0.57    0.26    0.11    2.39    5.41   19.50   -0.54    0.48   -0.64
