_KM.M____   RK1-i    RYCH   SL_D1   SP_D1   SK_D2   K70-i   PKcel   ZKS_%   ZKS_b   VK_D2   VL_D1   VP_D1
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.00   19.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.88   19.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.69   19.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.53   19.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.24   16.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.07   16.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.96   16.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.92   16.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.79   16.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.74   16.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.59   16.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.46   16.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.22   18.00    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.98   18.00    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.73   18.00    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.43   18.00    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00   -0.27   -0.09    0.00    0.00    0.00    0.00    1.50    0.00   -0.39   -0.63
000.000      0.43    0.00   -0.63   -0.20    0.00    0.00    0.00    0.00    1.50    0.00   -0.65   -1.05
000.00025    0.75   33.40   -1.06   -0.32    0.00   -0.01    8.53    0.00    1.50    0.00   -0.78   -1.26
000.00050    0.94   33.40   -1.53   -0.48    0.00   -0.01    8.28    0.00    1.50    0.00   -0.78   -1.28
000.00075    1.09   33.40   -2.01   -0.67    0.00   -0.01    8.04    0.00    1.50    0.00   -0.63   -1.11
000.001      1.34   33.40   -2.21   -0.80    0.00   -0.01    7.83    0.00    1.50    0.00    0.07   -0.16
000.00125    1.30   33.40   -2.29   -0.94    0.00   -0.01    7.66    0.00    1.50    0.00    0.79    0.71
000.00150    1.45   33.40   -2.29   -1.12    0.00   -0.01    7.53    0.00    1.50    0.00    1.51    1.49
000.00175    1.77   33.40   -2.22   -1.30    0.00   -0.02    7.45    0.00    1.50    0.00    2.22    2.16
000.002      2.13   33.40   -2.13   -1.48    0.00   -0.02    7.38    0.00    1.50    0.00    2.86    2.72
000.00225    2.35   33.40   -2.04   -1.65    0.00   -0.02    7.34    0.00    1.50    0.00    3.40    3.16
000.00250    2.42   33.40   -1.97   -1.81    0.00   -0.02    7.28    0.00    1.50    0.00    3.84    3.50
000.00275    2.41   33.40   -1.94   -1.93    0.00   -0.02    7.22    0.00    1.50    0.00    4.14    3.74
000.003      2.41   33.40   -1.93   -2.01    0.00   -0.02    7.14    0.00    1.50    0.00    4.32    3.89
000.00325    2.46   33.40   -1.94   -2.04    0.00   -0.02    7.06    8.33    3.00    0.00    4.37    3.96
000.00350    2.56   33.40   -1.96   -2.02    0.00   -0.02    6.96    9.42    3.00    0.00    4.32    3.98
000.00375    2.61   33.40   -1.97   -1.95    0.00   -0.02    6.84    9.92    3.00    0.00    4.20    3.94
000.004      2.56   33.40   -1.97   -1.84    0.00   -0.02    6.72   10.25    3.00    0.00    4.04    3.87
000.00425    2.45   33.40   -1.95   -1.69    0.00   -0.02    6.59   10.50    3.00    0.00    3.87    3.78
000.00450    2.29   33.40   -1.91   -1.52    0.00   -0.02    6.46   14.00    3.00    0.00    3.72    3.70
000.00475    2.12   33.40   -1.84   -1.34    0.00   -0.02    6.34   13.75    3.00    0.00    3.60    3.62
000.005      2.05   33.40   -1.75   -1.14    0.00   -0.02    6.22   13.50    3.00    0.00    3.51    3.56
000.00525    2.05   33.40   -1.63   -0.93    0.00   -0.02    6.12   18.38    7.50    0.00    3.44    3.49
000.00550    2.04   33.40   -1.48   -0.71    0.00   -0.02    6.02   19.19    7.50    0.00    3.40    3.42
000.00575    1.96   33.40   -1.28   -0.47    0.00   -0.03    5.95   19.95    7.50    0.00    3.35    3.33
000.006      1.79   33.40   -1.03   -0.21    0.00   -0.03    5.88   20.76    7.50    0.00    3.26    3.19
000.00625    1.60   33.40   -0.72    0.07    0.00   -0.03    5.81   22.40    9.00    0.00    3.12    2.98
000.00650    1.49   33.40   -0.36    0.38    0.00   -0.03    5.73   22.36    9.00    0.00    2.90    2.70
000.00675    1.50   33.40    0.04    0.68    0.00   -0.03    5.64   24.00    7.50    0.00    2.59    2.35
000.007      1.59   33.40    0.46    0.97    0.00   -0.03    5.53   23.90    7.50    0.00    2.19    1.91
000.00725    1.77   33.40    0.87    1.22    0.00   -0.03    5.39   23.57    7.50    0.00    1.69    1.42
000.00750    1.98   33.40    1.27    1.44    0.00   -0.03    5.22   23.05    7.50    0.00    1.13    0.91
000.00775    2.14   33.40    1.61    1.59    0.00   -0.03    5.01   22.29    7.50    0.00    0.52    0.39
000.008      2.26   33.40    1.89    1.69    0.00   -0.03    4.77   21.38    7.50    0.00   -0.11   -0.10
000.00825    2.41   33.40    2.10    1.73    0.00   -0.03    4.50   21.58    3.00    0.00   -0.73   -0.53
000.00850    2.59   33.40    2.27    1.73    0.00   -0.03    4.21   22.00    3.00    0.00   -1.29   -0.88
000.00875    2.78   33.40    2.38    1.70    0.00   -0.03    3.92   22.00    3.00    0.00   -1.79   -1.14
000.009      2.98   33.40    2.46    1.66    0.00   -0.03    3.63   21.67    3.00    0.00   -2.18   -1.30
000.00925    3.12   33.40    2.52    1.62    0.00   -0.03    3.36   20.83    3.00    0.00   -2.46   -1.35
000.00950    3.16   33.40    2.58    1.59    0.00   -0.03    3.11   19.42    3.00    0.00   -2.63   -1.32
000.00975    3.13   33.40    2.62    1.57    0.00   -0.03    2.89   19.33    1.50    0.00   -2.69   -1.22
000.010      3.08   33.40    2.65    1.56    0.00   -0.03    2.70   16.83    1.50    0.00   -2.67   -1.05
000.01025    3.01   33.40    2.64    1.52    0.00   -0.03    2.54   14.00    1.50    0.00   -2.57   -0.85
000.01050    2.97   33.40    2.59    1.46    0.00   -0.03    2.41   12.53   15.00    0.00   -2.43   -0.65
000.01075    2.95   33.40    2.47    1.35    0.00   -0.03    2.31   12.27   15.00    0.00   -2.25   -0.44
000.011      2.91   33.40    2.27    1.19    0.00   -0.03    2.25   12.00   15.00    0.00   -2.10   -0.26
000.01125    2.82   33.40    2.00    0.98    0.00   -0.03    2.22   12.30   16.50    0.00   -1.94   -0.12
000.01150    2.72   33.40    1.68    0.74    0.00   -0.03    2.21   12.12   16.50    0.00   -1.80   -0.02
000.01175    2.65   33.40    1.32    0.48    0.00   -0.03    2.24   11.91   16.50    0.00   -1.66    0.03
000.012      2.62   33.40    0.94    0.22    0.00   -0.03    2.30   12.31   18.00    0.00   -1.52    0.03
000.01225    2.62   33.40    0.57   -0.01   -0.13   -0.03    2.39   12.11   18.00   -0.11   -1.36    0.00
000.01250    2.57   33.40    0.23   -0.20   -0.10   -0.03    2.50   11.86   18.00   -0.11   -1.21   -0.07
000.01275    2.39   33.40   -0.07   -0.33   -0.06   -0.03    2.62   11.82   19.50   -0.12   -1.07   -0.16
000.013      2.11   33.40   -0.34   -0.40   -0.03   -0.03    2.74   11.49   19.50   -0.13   -0.93   -0.27
000.01325    1.74   33.40   -0.56   -0.40    0.00   -0.03    2.88   11.13   19.50   -0.14   -0.80   -0.37
000.01350    1.32   33.40   -0.75   -0.36    0.02   -0.03    3.01   10.83    3.00   -0.15   -0.68   -0.47
000.01375    0.94   33.40   -0.91   -0.29    0.04   -0.03    3.14   10.92    3.00   -0.16   -0.56   -0.56
000.014      0.66   33.40   -1.03   -0.20    0.07   -0.03    3.27   10.75    3.00   -0.18   -0.45   -0.62
000.01425    0.44   33.40   -1.12   -0.12    0.10   -0.03    3.39   10.33    3.00   -0.19   -0.34   -0.67
000.01450    0.27   33.40   -1.20   -0.08    0.12   -0.03    3.51    9.67    3.00   -0.20   -0.23   -0.70
000.01475    0.13   33.40   -1.25   -0.07    0.14   -0.03    3.62    8.83    3.00   -0.22   -0.11   -0.71
000.015      0.01   33.40   -1.27   -0.09    0.17   -0.03    3.72    8.50    1.50   -0.25    0.01   -0.71
000.01525   -0.06   33.40   -1.26   -0.14    0.19   -0.03    3.81    7.33   16.50   -0.27    0.13   -0.69
000.01550   -0.09   33.40   -1.23   -0.22    0.20   -0.03    3.89    6.86   18.00   -0.29    0.25   -0.67
000.01575   -0.06   33.40   -1.18   -0.31    0.22   -0.03    3.95    6.42   18.00   -0.31    0.37   -0.64
000.016      0.05   33.40   -1.12   -0.39    0.24   -0.03    3.99    5.90   19.50   -0.34    0.47   -0.60
000.01625    0.20   33.40   -1.05   -0.45    0.25   -0.03    4.01    5.49   19.50   -0.36    0.54   -0.55
000.01650    0.34   33.40   -0.99   -0.48    0.25   -0.03    4.01    5.08   19.50   -0.38    0.60   -0.51
000.01675    0.44   33.40   -0.93   -0.47    0.26   -0.03    3.99    4.62   19.50   -0.40    0.62   -0.47
000.017      0.48   33.40   -0.87   -0.43    0.28   -0.03    3.96    4.05   19.50   -0.43    0.61   -0.44
000.01725    0.46   33.40   -0.80   -0.35    0.28   -0.03    3.92    3.46   19.50   -0.45    0.58   -0.43
000.01750    0.37   33.40   -0.73   -0.26    0.28   -0.03    3.88    2.82   12.00   -0.47    0.52   -0.43
000.01775    0.26   33.40   -0.63   -0.18    0.28   -0.03    3.84    3.25    3.00   -0.50    0.45   -0.46
000.018      0.19   33.40   -0.50   -0.11    0.29   -0.03    3.80    3.83    3.00   -0.53    0.36   -0.50
000.01825    0.17   33.40   -0.35   -0.07    0.29   -0.02    3.76    4.33    3.00   -0.55    0.26   -0.55
000.01850    0.24   33.40   -0.18   -0.08    0.28   -0.02    3.72    4.67    3.00   -0.56    0.17   -0.62
000.01875    0.38   33.40    0.01   -0.12    0.28   -0.02    3.67    4.92    3.00   -0.58    0.09   -0.68
000.019      0.59   33.40    0.20   -0.20    0.28   -0.02    3.63    5.25    3.00   -0.61    0.02   -0.73
000.01925    0.86   33.40    0.37   -0.28    0.28   -0.02    3.57    5.42    3.00   -0.63   -0.04   -0.75
000.01950    1.14   33.40    0.52   -0.38    0.26   -0.02    3.51    5.58    3.00   -0.64   -0.08   -0.75
000.01975    1.39   33.40    0.62   -0.46    0.25   -0.02    3.45    5.67    3.00   -0.66   -0.11   -0.72
