_KM.M____   RK1-i    RYCH   SL_D1   SP_D1   SK_D2   K70-i   PKcel   ZKS_%   ZKS_b   VK_D2   VL_D1   VP_D1
104.931      4.98   33.30    0.75    0.20    0.37    0.12    3.39   14.01   12.00    4.18   -2.10   -2.19
104.93125    5.01   33.30    0.82    0.31    0.36    0.12    3.35   12.78   12.00    4.30   -1.59   -1.65
104.93150    5.03   33.30    0.88    0.48    0.34    0.12    3.23   10.96   13.50    4.41   -0.87   -0.99
104.93175    4.77   33.30    0.84    0.63    0.32    0.12    3.51   10.15   13.50    4.50    0.01   -0.28
104.932      4.43   33.30    0.66    0.67    0.30    0.12    3.60    9.07   13.50    4.59    0.97    0.40
104.93225    4.09   33.30    0.37    0.57    0.28    0.12    4.36    8.97   16.50    4.66    1.86    0.96
104.93250    3.84   33.30    0.03    0.38    0.26    0.12    4.53    9.90    6.00    4.72    2.52    1.35
104.93275    3.53   33.30   -0.29    0.13    0.23    0.12    4.60   10.78    6.00    4.77    2.83    1.53
104.933      3.47   33.30   -0.50   -0.12    0.21    0.12    4.29   11.25    6.00    4.81    2.73    1.47
104.93325    3.52   33.30   -0.57   -0.32    0.19    0.12    3.97   13.08    3.00    4.83    2.22    1.16
104.93350    3.49   33.30   -0.50   -0.49    0.16    0.12    3.68   15.67    3.00    4.85    1.42    0.64
104.93375    3.45   33.30   -0.30   -0.62    0.14    0.12    3.17   18.00    3.00    4.85    0.44   -0.04
104.934      3.52   33.30   -0.04   -0.73    0.11    0.12    2.99   19.75    3.00    4.85   -0.57   -0.81
104.93425    3.59   33.30    0.19   -0.83    0.09    0.12    2.68   20.67    3.00    4.83   -1.49   -1.55
104.93450    3.66   33.30    0.34   -0.93    0.06    0.12    2.43   20.92    3.00    4.80   -2.26   -2.17
104.93475    3.72   33.30    0.36   -1.01    0.03    0.12    2.18   20.42    3.00    4.77   -2.83   -2.58
104.935      3.73   33.30    0.30   -1.07    0.01    0.12    2.06   21.50    1.50    4.72   -3.21   -2.78
104.93525    3.61   33.30    0.20   -1.07   -0.01    0.12    1.81   18.33    1.50    4.66   -3.43   -2.79
