_KM.M____   RK1-i    RYCH   SL_D1   SP_D1   SK_D2   K70-i   PKcel   ZKS_%   ZKS_b   VK_D2   VL_D1   VP_D1
000.00675    2.37   33.30    1.97    1.78    0.00    0.05    3.89   24.10    7.50    0.00    0.08    0.05
000.007      2.43   33.30    2.09    1.82    0.00    0.05    3.39   24.00    3.00    0.00   -0.58   -0.40
000.00725    2.48   33.30    2.19    1.78    0.00    0.05    2.99   24.75    3.00    0.00   -1.20   -0.79
000.00750    2.58   33.30    2.29    1.73    0.00    0.05    2.53   24.75    3.00    0.00   -1.77   -1.10
000.00775    2.74   33.30    2.38    1.69    0.00    0.05    2.08   24.58    3.00    0.00   -2.22   -1.30
000.008      2.86   33.30    2.42    1.67    0.00    0.05    1.89   23.33    3.00    0.00   -2.54   -1.38
000.00825    2.88   33.30    2.43    1.68    0.00    0.05    1.60   21.83    3.00    0.00   -2.72   -1.35
000.00850    2.82   33.30    2.44    1.72    0.00    0.05    1.56   21.17    1.50    0.00   -2.78   -1.24
000.00875    2.78   33.30    2.44    1.74    0.00    0.05    1.51   17.83    1.50    0.00   -2.73   -1.07
000.009      2.70   33.30    2.44    1.73    0.00    0.05    1.27   14.75    3.00    0.00   -2.62   -0.87
000.00925    2.67   33.30    2.39    1.66    0.00    0.05    0.99   11.94   12.00    0.00   -2.47   -0.65
000.00950    2.70   33.30    2.27    1.53    0.00    0.05    0.91   11.51   12.00    0.00   -2.30   -0.44
000.00975    2.71   33.30    2.05    1.33    0.00    0.05    0.82   12.37   13.50    0.00   -2.13   -0.24
000.010      2.71   33.30    1.78    1.06    0.00    0.05    0.83   11.93   13.50    0.00   -1.95   -0.07
000.01025    2.71   33.30    1.46    0.74    0.00    0.05    0.56   11.48   13.50    0.00   -1.77    0.06
000.01050    2.67   33.30    1.15    0.41    0.00    0.05    0.76   11.80   15.00    0.00   -1.60    0.15
000.01075    2.62   33.30    0.84    0.09    0.00    0.05    0.82   11.50   15.00    0.00   -1.44    0.16
000.011      2.61   33.30    0.54   -0.18    0.00    0.05    0.90   11.17   15.00    0.00   -1.28    0.11
000.01125    2.47   33.30    0.24   -0.36    0.00    0.05    1.23   11.88   16.50    0.00   -1.12    0.00
000.01150    2.21   33.30   -0.05   -0.45    0.00    0.05    1.42   11.61   16.50    0.00   -0.99   -0.15
000.01175    1.90   33.30   -0.31   -0.46    0.00    0.05    1.49   12.00    3.00    0.00   -0.88   -0.32
000.012      1.55   33.30   -0.54   -0.43    0.00    0.05    1.86   12.50    3.00    0.00   -0.79   -0.46
000.01225    1.14   33.30   -0.72   -0.38   -0.08    0.05    1.90   12.92    3.00   -0.06   -0.69   -0.56
000.01250    0.80   33.30   -0.88   -0.35   -0.06    0.05    1.88   12.83    3.00   -0.08   -0.59   -0.63
000.01275    0.53   33.30   -1.02   -0.32   -0.03    0.05    2.05   12.42    3.00   -0.10   -0.46   -0.64
000.013      0.30   33.30   -1.14   -0.29   -0.01    0.05    2.16   12.33    1.50   -0.13   -0.32   -0.64
000.01325    0.11   33.30   -1.25   -0.25    0.00    0.05    2.18   11.83    1.50   -0.15   -0.18   -0.62
000.01350   -0.01   33.30   -1.35   -0.21    0.02    0.05    2.37   10.83    1.50   -0.18   -0.07   -0.61
000.01375   -0.15   33.30   -1.39   -0.16    0.04    0.05    2.60    9.67    1.50   -0.21    0.04   -0.61
000.014     -0.22   33.30   -1.36   -0.13    0.05    0.05    2.82    8.67    1.50   -0.23    0.14   -0.63
000.01425   -0.19   33.30   -1.25   -0.15    0.07    0.05    2.81    7.27   16.50   -0.26    0.24   -0.63
000.01450   -0.14   33.30   -1.10   -0.22    0.08    0.05    2.83    6.69   18.00   -0.29    0.36   -0.63
000.01475    0.00   33.30   -0.93   -0.34    0.09    0.05    2.95    6.28   18.00   -0.32    0.48   -0.62
000.015      0.22   33.30   -0.80   -0.47    0.10    0.05    2.96    5.75   18.00   -0.35    0.56   -0.60
000.01525    0.40   33.30   -0.73   -0.59    0.11    0.05    2.82    5.46   19.50   -0.38    0.60   -0.58
000.01550    0.50   33.30   -0.70   -0.66    0.12    0.05    2.90    5.15   19.50   -0.41    0.59   -0.57
000.01575    0.57   33.30   -0.69   -0.66    0.12    0.05    2.74    4.69   19.50   -0.44    0.55   -0.56
000.016      0.56   33.30   -0.66   -0.58    0.13    0.05    2.68    4.13   19.50   -0.47    0.48   -0.55
000.01625    0.47   33.30   -0.58   -0.46    0.13    0.05    2.62    3.69   12.00   -0.50    0.41   -0.54
000.01650    0.34   33.30   -0.46   -0.33    0.13    0.05    2.50    3.96   13.50   -0.53    0.37   -0.52
000.01675    0.26   33.30   -0.32   -0.22    0.13    0.05    2.70    4.41   13.50   -0.56    0.35   -0.50
000.017      0.24   33.30   -0.16   -0.17    0.12    0.05    2.56    4.63   13.50   -0.59    0.33   -0.49
000.01725    0.29   33.30    0.00   -0.16    0.12    0.05    2.53    4.63   13.50   -0.61    0.29   -0.50
000.01750    0.41   33.30    0.16   -0.21    0.11    0.05    2.49    4.90   15.00   -0.64    0.23   -0.53
000.01775    0.62   33.30    0.32   -0.28    0.11    0.05    2.58    5.36    6.00   -0.67    0.13   -0.59
000.018      0.87   33.30    0.50   -0.36    0.10    0.06    2.52    5.63    6.00   -0.69    0.02   -0.64
000.01825    1.12   33.30    0.65   -0.43    0.09    0.06    2.42    5.63    6.00   -0.71   -0.08   -0.67
000.01850    1.36   33.30    0.79   -0.47    0.08    0.06    2.38    6.31   18.00   -0.73   -0.14   -0.66
000.01875    1.47   33.30    0.86   -0.48    0.07    0.06    2.30    7.03   18.00   -0.75   -0.17   -0.60
