Datum: 09.04.2015 07:08
_KM.M____   RK1-i    RYCH   SL_D1   SP_D1   SK_D2   K70-i   PKcel   ZKS_%   ZKS_b   VK_D2   VL_D1   VP_D1
000.00650    1.57   33.10    0.91    1.29    0.00    0.09    4.04   23.39    6.00    0.00    1.42    1.01
000.00675    1.82   33.10    1.42    1.55    0.00    0.09    3.95   23.67    7.50    0.00    0.78    0.55
000.007      1.99   33.10    1.80    1.74    0.00    0.08    3.58   23.17    3.00    0.00    0.11    0.10
000.00725    2.14   33.10    2.07    1.81    0.00    0.08    3.12   24.17    3.00    0.00   -0.53   -0.29
000.00750    2.30   33.10    2.29    1.79    0.00    0.08    2.52   24.67    3.00    0.00   -1.09   -0.59
000.00775    2.46   33.10    2.44    1.69    0.00    0.08    2.27   24.42    3.00    0.00   -1.57   -0.79
000.008      2.67   33.10    2.52    1.57    0.00    0.08    1.87   23.58    3.00    0.00   -1.96   -0.89
000.00825    2.84   33.10    2.50    1.47    0.00    0.08    1.53   22.17    3.00    0.00   -2.25   -0.91
000.00850    2.93   33.10    2.42    1.40    0.00    0.08    1.28   21.67    1.50    0.00   -2.43   -0.87
000.00875    2.90   33.10    2.30    1.37    0.00    0.08    1.34   18.50    3.00    0.00   -2.49   -0.80
000.009      2.85   33.10    2.21    1.36    0.00    0.08    1.22   15.92    3.00    0.00   -2.43   -0.70
000.00925    2.76   33.10    2.15    1.34    0.00    0.08    1.13   13.02    6.00    0.00   -2.30   -0.59
000.00950    2.71   33.10    2.11    1.29    0.00    0.08    0.92   11.80   15.00    0.00   -2.15   -0.48
000.00975    2.69   33.10    2.03    1.19    0.00    0.08    0.82   12.30   13.50    0.00   -2.02   -0.38
000.010      2.65   33.10    1.89    1.02    0.00    0.08    0.76   11.89   13.50    0.00   -1.92   -0.28
000.01025    2.62   33.10    1.69    0.79    0.00    0.08    0.77   11.44   13.50    0.00   -1.85   -0.19
000.01050    2.55   33.10    1.46    0.54    0.00    0.08    0.64   11.63   15.00    0.00   -1.78   -0.14
000.01075    2.45   33.10    1.25    0.27    0.00    0.07    0.62   11.73   16.50    0.00   -1.70   -0.12
000.011      2.40   33.10    1.04    0.01    0.00    0.07    0.66   11.21   16.50    0.00   -1.57   -0.13
000.01125    2.45   33.10    0.83   -0.19    0.00    0.07    0.81   11.85   16.50    0.00   -1.42   -0.17
000.01150    2.45   33.10    0.58   -0.34    0.00    0.07    1.00   12.03   18.00    0.00   -1.26   -0.24
000.01175    2.35   33.10    0.26   -0.42    0.00    0.07    1.30   11.52   16.50    0.00   -1.12   -0.33
000.012      2.11   33.10   -0.11   -0.43    0.00    0.07    1.43   11.89   18.00    0.00   -0.99   -0.42
000.01225    1.80   33.10   -0.49   -0.41   -0.14    0.07    1.65   11.58   18.00   -0.17   -0.88   -0.49
000.01250    1.40   33.10   -0.82   -0.37   -0.11    0.07    1.77   11.67    3.00   -0.20   -0.75   -0.55
000.01275    0.96   33.10   -1.06   -0.33   -0.08    0.07    1.77   11.58    3.00   -0.23   -0.57   -0.59
000.013      0.58   33.10   -1.21   -0.29   -0.05    0.07    1.91   11.33    3.00   -0.26   -0.36   -0.59
000.01325    0.31   33.10   -1.30   -0.24   -0.03    0.07    1.99   10.67    3.00   -0.29   -0.14   -0.59
000.01350    0.09   33.10   -1.36   -0.18   -0.01    0.07    2.04    9.75    3.00   -0.33    0.01   -0.58
