Datum: 29.11.2016 06:49
_KM.M____   RK1-i    RYCH   SL_D1   SP_D1   SK_D2   K70-i   PKcel   ZKS_%   ZKS_b   VK_D2   VL_D1   VP_D1
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.23   19.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.88   19.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.48   19.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    5.53   19.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.70   16.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.31   16.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.33   16.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    8.07   16.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.64   18.00    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.77   16.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.13   16.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.16   16.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.69   18.00    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.41   18.00    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.31   18.00    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    6.11   18.00    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00   -0.36   -0.28    0.00    0.00    0.00    0.00    1.50    0.00    0.64    0.54
000.000      0.49    0.00   -0.82   -0.61    0.00    0.00    0.00    0.00    1.50    0.00    1.37    1.13
000.00025    0.95   16.80   -1.36   -0.96    0.00    0.03    6.50    0.00    1.50    0.00    2.18    1.76
000.00050    1.41   16.80   -1.91   -1.35    0.00    0.03    6.53    0.00    1.50    0.00    3.03    2.42
000.00075    1.86   16.80   -2.40   -1.76    0.00    0.03    6.42    0.00    1.50    0.00    3.89    3.11
000.001      2.34   16.80   -2.47   -1.91    0.00    0.03    6.44    0.00    1.50    0.00    4.09    3.27
000.00125    2.37   16.80   -2.40   -2.03    0.00    0.03    6.36    0.00    1.50    0.00    4.13    3.37
000.00150    2.54   16.80   -2.26   -2.09    0.00    0.02    6.29    0.00    1.50    0.00    4.05    3.41
000.00175    2.65   16.80   -2.13   -2.08    0.00    0.02    6.06    0.00    1.50    0.00    3.86    3.38
000.002      2.65   16.80   -2.04   -1.97    0.00    0.02    6.03    0.00    1.50    0.00    3.64    3.30
000.00225    2.59   16.80   -1.96   -1.79    0.00    0.02    5.85    0.00    1.50    0.00    3.43    3.19
000.00250    2.45   16.80   -1.82   -1.55    0.00    0.02    5.63    0.00    1.50    0.00    3.30    3.10
000.00275    2.21   16.80   -1.59   -1.30    0.00    0.02    5.65    0.00    1.50    0.00    3.24    3.07
000.003      2.09   16.80   -1.29   -1.06    0.00    0.02    5.37    0.00    1.50    0.00    3.25    3.10
000.00325    2.07   16.80   -1.02   -0.83    0.00    0.02    5.26    8.67    3.00    0.00    3.29    3.16
000.00350    2.06   16.80   -0.88   -0.62    0.00    0.02    5.23   10.58    3.00    0.00    3.35    3.22
000.00375    2.00   16.80   -0.91   -0.41    0.00    0.02    5.19   10.33    3.00    0.00    3.38    3.22
000.004      1.84   16.80   -1.06   -0.22    0.00    0.02    5.05   10.25    3.00    0.00    3.37    3.14
000.00425    1.58   16.80   -1.18   -0.04    0.00    0.01    5.09   15.61    4.50    0.00    3.29    2.98
000.00450    1.40   16.80   -1.15    0.14    0.00    0.01    5.10   19.58    3.00    0.00    3.15    2.75
000.00475    1.37   16.80   -0.88    0.34    0.00    0.01    4.91   21.00    3.00    0.00    2.90    2.45
000.005      1.47   16.80   -0.38    0.60    0.00    0.01    4.89   22.58    3.00    0.00    2.55    2.09
000.00525    1.63   16.80    0.25    0.90    0.00    0.01    4.79   23.75    3.00    0.00    2.06    1.66
000.00550    1.89   16.80    0.87    1.23    0.00    0.01    4.51   24.83    3.00    0.00    1.48    1.20
000.00575    2.14   16.80    1.40    1.52    0.00    0.01    4.49   25.58    3.00    0.00    0.83    0.70
000.006      2.29   16.80    1.82    1.71    0.00    0.01    4.09   25.83    3.00    0.00    0.16    0.22
000.00625    2.44   16.70    2.15    1.78    0.00    0.01    3.63   25.83    3.00    0.00   -0.48   -0.20
000.00650    2.62   16.70    2.43    1.75    0.00    0.01    3.22   25.08    3.00    0.00   -1.06   -0.55
000.00675    2.82   16.70    2.67    1.67    0.00    0.01    2.80   24.75    3.00    0.00   -1.56   -0.77
000.007      3.01   16.70    2.84    1.58    0.00    0.01    2.36   23.83    3.00    0.00   -1.96   -0.89
000.00725    3.15   16.70    2.91    1.52    0.00    0.01    2.11   22.25    3.00    0.00   -2.24   -0.91
000.00750    3.20   16.70    2.89    1.51    0.00    0.00    1.85   21.33    1.50    0.00   -2.41   -0.87
000.00775    3.13   16.70    2.78    1.52    0.00    0.00    1.78   18.17    3.00    0.00   -2.45   -0.78
000.008      3.05   16.70    2.63    1.53    0.00    0.00    1.79   15.42    3.00    0.00   -2.40   -0.67
000.00825    2.96   16.70    2.47    1.52    0.00    0.00    1.70   12.76    6.00    0.00   -2.28   -0.55
000.00850    2.93   16.70    2.32    1.47    0.00    0.00    1.48   11.97   10.50    0.00   -2.15   -0.43
000.00875    2.89   16.70    2.16    1.37    0.00    0.00    1.43   11.26   10.50    0.00   -2.02   -0.32
000.009      2.87   16.70    1.98    1.22    0.00    0.00    1.33   12.30   12.00    0.00   -1.91   -0.21
000.00925    2.84   16.70    1.77    1.00    0.00    0.00    1.30   11.94   12.00    0.00   -1.80   -0.11
000.00950    2.78   16.70    1.56    0.74    0.00    0.00    1.22   11.63   12.00    0.00   -1.70   -0.05
000.00975    2.72   16.70    1.33    0.45    0.00    0.00    1.25   12.48   13.50    0.00   -1.59   -0.03
000.010      2.73   16.70    1.10    0.16    0.00    0.00    1.26   12.15   13.50    0.00   -1.46   -0.04
000.01025    2.79   16.70    0.85   -0.09    0.00    0.00    1.43   11.81   13.50    0.00   -1.31   -0.09
000.01050    2.81   16.70    0.60   -0.28    0.00    0.00    1.63   12.43   15.00    0.00   -1.17   -0.17
000.01075    2.68   16.70    0.33   -0.39    0.00    0.00    1.80   12.23   15.00    0.00   -1.02   -0.26
000.011      2.42   16.70    0.05   -0.44    0.00    0.00    2.02   12.07   15.00    0.00   -0.86   -0.35
000.01125    2.10   16.70   -0.22   -0.43    0.00    0.00    2.32   12.73   16.50    0.00   -0.71   -0.41
000.01150    1.70   16.70   -0.49   -0.41    0.00    0.00    2.46   12.67    3.00    0.00   -0.57   -0.46
000.01175    1.30   16.70   -0.73   -0.38    0.00    0.00    2.48   12.42    3.00    0.00   -0.44   -0.50
000.012      1.02   16.70   -0.96   -0.33    0.00    0.00    2.63   12.00   18.00    0.00   -0.32   -0.53
000.01225    0.80   16.70   -1.15   -0.28   -0.16    0.00    2.69   11.50    1.50   -0.27   -0.21   -0.55
000.01250    0.62   16.70   -1.30   -0.23   -0.13    0.00    2.74   10.97   18.00   -0.29   -0.13   -0.59
000.01275    0.49   16.70   -1.38   -0.19   -0.11    0.00    2.89   10.33   18.00   -0.31   -0.06   -0.62
000.013      0.37   16.70   -1.39   -0.15   -0.08    0.00    3.00    9.64   18.00   -0.34    0.01   -0.66
000.01325    0.24   16.70   -1.31   -0.13   -0.06    0.00    3.12    9.08   19.50   -0.36    0.07   -0.69
000.01350    0.22   16.70   -1.18   -0.15   -0.04    0.00    3.20    8.51   19.50   -0.39    0.15   -0.73
000.01375    0.21   16.70   -1.02   -0.20   -0.02    0.00    3.35    7.95   19.50   -0.41    0.22   -0.77
000.014      0.28   16.70   -0.87   -0.28    0.00    0.00    3.34    7.41   19.50   -0.44    0.29   -0.82
000.01425    0.46   16.70   -0.77   -0.37    0.01    0.00    3.37    6.74   19.50   -0.46    0.33   -0.84
000.01450    0.62   16.70   -0.75   -0.46    0.03    0.00    3.29    6.15   19.50   -0.49    0.36   -0.85
000.01475    0.70   16.70   -0.78   -0.51    0.04    0.00    3.13    5.38   19.50   -0.52    0.38   -0.82
000.015      0.75   16.70   -0.84   -0.50    0.05    0.00    3.11    4.90   19.50   -0.54    0.39   -0.75
000.01525    0.73   16.70   -0.89   -0.43    0.06    0.00    3.05    4.26   19.50   -0.56    0.40   -0.66
000.01550    0.64   16.70   -0.92   -0.31    0.07    0.00    2.95    3.92    3.00   -0.59    0.39   -0.57
000.01575    0.50   16.70   -0.88   -0.18    0.08    0.00    2.90    4.42    3.00   -0.61    0.37   -0.49
000.016      0.41   16.70   -0.77   -0.05    0.09    0.00    2.88    4.67    3.00   -0.64    0.33   -0.45
000.01625    0.36   16.70   -0.60    0.04    0.10    0.00    2.87    5.21    6.00   -0.66    0.25   -0.45
000.01650    0.39   16.70   -0.38    0.08    0.10    0.00    2.86    5.89    6.00   -0.68    0.17   -0.50
000.01675    0.46   16.70   -0.11    0.06    0.10    0.00    2.87    6.46    6.00   -0.70    0.07   -0.59
000.017      0.66   16.70    0.19   -0.02    0.10    0.00    2.81    6.82    6.00   -0.72   -0.03   -0.69
000.01725    0.92   16.70    0.49   -0.15    0.10    0.00    2.75    6.98    6.00   -0.73   -0.13   -0.78
000.01750    1.22   16.70    0.75   -0.29    0.10    0.00    2.67    6.93    6.00   -0.75   -0.23   -0.85
000.01775    1.51   16.70    0.93   -0.40    0.10    0.00    2.54    6.75    3.00   -0.76   -0.31   -0.88
000.018      1.68   16.70    1.00   -0.47    0.09    0.00    2.45    6.92    3.00   -0.78   -0.36   -0.87
000.01825    1.70   16.70    0.95   -0.47    0.09    0.00    2.38    7.08    3.00   -0.79   -0.38   -0.81
000.01850    1.60   16.70    0.81   -0.42    0.08    0.00    2.36    7.00    3.00   -0.79   -0.38   -0.73
000.01875    1.39   16.70    0.63   -0.35    0.07    0.00    2.27    6.75    3.00   -0.80   -0.37   -0.62
000.019      1.12   16.70    0.46   -0.27    0.06    0.00    2.16    6.42    3.00   -0.81   -0.35   -0.48
000.01925    0.91   16.70    0.32   -0.17    0.06    0.00    2.02    6.19   18.00   -0.81   -0.32   -0.31
000.01950    0.74   16.70    0.24   -0.08    0.04    0.00    1.95    5.85   19.50   -0.81   -0.30   -0.14
000.01975    0.57   16.70    0.16    0.03    0.03    0.00    1.87    5.44   19.50   -0.81   -0.28    0.03
000.020      0.36   16.70    0.07    0.17    0.02    0.00    1.87    4.90   19.50   -0.80   -0.25    0.18
000.02025    0.14   16.70   -0.04    0.31    0.01    0.00    1.82    4.26   19.50   -0.80   -0.21    0.28
000.02050   -0.19   16.70   -0.17    0.43    0.00    0.00    1.81    3.62   19.50   -0.79   -0.18    0.36
000.02075   -0.50   16.70   -0.28    0.51   -0.01    0.00    1.77    2.92   18.00   -0.78   -0.16    0.40
000.021     -0.73   16.70   -0.34    0.51   -0.02    0.00    1.83    2.36   16.50   -0.77   -0.14    0.40
000.02125   -0.91   16.70   -0.32    0.45   -0.04    0.00    1.91    3.33    3.00   -0.75   -0.11    0.38
000.02150   -0.97   16.70   -0.25    0.34   -0.05    0.00    1.95    4.08    3.00   -0.73   -0.10    0.36
000.02175   -0.85   16.70   -0.14    0.20   -0.07    0.00    2.03    4.83    3.00   -0.71   -0.07    0.34
000.022     -0.69   16.70   -0.02    0.06   -0.08    0.01    2.10    5.33    3.00   -0.69   -0.02    0.32
000.02225   -0.52   16.70    0.07   -0.05   -0.10    0.01    2.20    5.58    3.00   -0.66    0.05    0.30
000.02250   -0.31   16.70    0.14   -0.15   -0.12    0.01    2.27    5.83    3.00   -0.64    0.14    0.30
000.02275   -0.12   16.70    0.19   -0.21   -0.13    0.01    2.39    6.17    1.50   -0.61    0.24    0.31
000.023      0.02   16.70    0.23   -0.24   -0.15    0.01    2.50    5.91    9.00   -0.57    0.34    0.34
000.02325    0.14   16.70    0.28   -0.22   -0.16    0.01    2.51    6.67    7.50   -0.54    0.39    0.38
000.02350    0.23   16.70    0.34   -0.17   -0.17    0.01    2.52    7.57    7.50   -0.50    0.42    0.44
000.02375    0.28   16.70    0.40   -0.08   -0.19    0.01    2.55    8.29    7.50   -0.46    0.43    0.51
000.024      0.27   16.70    0.43    0.02   -0.20    0.01    2.55    8.81    7.50   -0.42    0.42    0.57
000.02425    0.21   16.70    0.41    0.12   -0.21    0.01    2.60    9.14    7.50   -0.38    0.43    0.63
000.02450    0.06   16.70    0.32    0.21   -0.23    0.01    2.61    9.24    7.50   -0.34    0.47    0.66
000.02475   -0.14   16.70    0.17    0.25   -0.24    0.01    2.71    9.14    7.50   -0.29    0.51    0.67
000.025     -0.36   16.70   -0.03    0.25   -0.25    0.02    2.76    8.86    7.50   -0.25    0.52    0.64
000.02525   -0.63   16.70   -0.24    0.22   -0.26    0.02    2.82    8.39    6.00   -0.20    0.50    0.57
000.02550   -0.94   16.70   -0.46    0.16   -0.27    0.02    2.89    8.02    6.00   -0.15    0.43    0.47
000.02575   -1.14   16.70   -0.67    0.06   -0.28    0.02    2.87    7.58    3.00   -0.10    0.33    0.35
000.026     -1.28   16.70   -0.86   -0.06   -0.28    0.02    2.88    8.17    3.00   -0.04    0.22    0.20
000.02625   -1.38   16.70   -1.02   -0.21   -0.29    0.02    2.94    8.50    3.00    0.00    0.12    0.04
000.02650   -1.39   16.70   -1.13   -0.38   -0.29    0.02    3.11    8.67    3.00    0.05    0.06   -0.12
000.02675   -1.26   16.70   -1.19   -0.54   -0.30    0.02    3.27    8.58    3.00    0.11    0.01   -0.28
000.027     -1.12   16.70   -1.20   -0.66   -0.30    0.02    3.49    8.08    3.00    0.16   -0.05   -0.44
000.02725   -0.95   16.70   -1.16   -0.73   -0.30    0.02    3.62    7.33    3.00    0.21   -0.11   -0.59
000.02750   -0.76   16.70   -1.10   -0.75   -0.30    0.02    3.74    8.50    1.50    0.27   -0.17   -0.73
000.02775   -0.60   16.70   -1.00   -0.72   -0.30    0.03    3.79    6.67    1.50    0.32   -0.21   -0.83
000.028     -0.52   16.70   -0.87   -0.66   -0.30    0.03    3.88    4.33    1.50    0.38   -0.21   -0.88
000.02825   -0.44   16.70   -0.70   -0.59   -0.29    0.03    3.94    2.44   18.00    0.43   -0.16   -0.87
000.02850   -0.34   16.70   -0.50   -0.54   -0.29    0.03    3.93    2.81   18.00    0.48   -0.07   -0.83
000.02875   -0.22   16.70   -0.28   -0.50   -0.28    0.03    3.89    3.14   18.00    0.54    0.03   -0.76
000.029     -0.13   16.70   -0.06   -0.46   -0.27    0.03    3.80    4.33    3.00    0.59    0.12   -0.67
000.02925    0.00   16.70    0.13   -0.41   -0.26    0.03    3.72    6.25    3.00    0.64    0.15   -0.58
000.02950    0.09   16.70    0.29   -0.33   -0.25    0.03    3.66    8.00    3.00    0.69    0.15   -0.50
