_KM.M____   RK1-i    RYCH   SL_D1   SP_D1   SK_D2   K70-i   PKcel   ZKS_%   ZKS_b   VK_D2   VL_D1   VP_D1
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.05   19.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.58   19.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.08   19.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.57   19.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.72   16.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.01   16.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.25   16.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.17   18.00    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.38   18.00    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.55   18.00    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.77   16.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.01   16.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.73   19.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    2.88   19.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.04   19.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.41   18.00    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.000      0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00025    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00050    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.50    0.00    0.00    0.00
000.00075    0.00    0.00   -0.31    0.03    0.00    0.00    0.00    0.00    1.50    0.00    0.71    0.64
000.000      0.05    0.00   -0.53    0.11    0.00    0.00    0.00    0.00    1.50    0.00    1.35    1.22
000.00025    0.12   33.60   -0.63    0.24    0.00    0.13    6.39    0.00    1.50    0.00    1.90    1.71
000.00050    0.29   33.60   -0.61    0.43    0.00    0.12    6.28    0.00    1.50    0.00    2.34    2.11
000.00075    0.54   33.60   -0.46    0.67    0.00    0.12    6.15    0.00    1.50    0.00    2.64    2.39
000.001      0.80   33.60    0.14    0.92    0.00    0.13    6.00    0.00    1.50    0.00    2.09    1.92
000.00125    1.04   33.60    0.75    1.16    0.00    0.13    5.81    0.00    1.50    0.00    1.44    1.39
000.00150    1.31   33.60    1.35    1.38    0.00    0.12    5.59    0.00    1.50    0.00    0.76    0.86
000.00175    1.51   33.60    1.86    1.57    0.00    0.12    5.32    0.00    1.50    0.00    0.04    0.34
000.002      1.69   33.60    2.26    1.73    0.00    0.13    5.02    0.00    1.50    0.00   -0.65   -0.14
000.00225    1.86   33.60    2.52    1.84    0.00    0.12    4.71    0.00    1.50    0.00   -1.28   -0.55
000.00250    2.04   33.60    2.66    1.93    0.00    0.11    4.39    0.00    1.50    0.00   -1.83   -0.87
000.00275    2.21   33.60    2.69    1.99    0.00    0.11    4.07    0.00    1.50    0.00   -2.27   -1.10
000.003      2.35   33.60    2.65    2.02    0.00    0.12    3.76    0.00    1.50    0.00   -2.59   -1.22
000.00325    2.40   33.60    2.58    2.04    0.00    0.12    3.48   20.50    3.00    0.00   -2.78   -1.25
000.00350    2.37   33.60    2.51    2.05    0.00    0.11    3.23   21.08    3.00    0.00   -2.87   -1.20
000.00375    2.30   33.60    2.47    2.04    0.00    0.11    3.01   18.75    3.00    0.00   -2.86   -1.08
000.004      2.23   33.60    2.47    2.01    0.00    0.12    2.83   16.08    3.00    0.00   -2.79   -0.92
000.00425    2.16   33.60    2.50    1.94    0.00    0.12    2.67   13.25    3.00    0.00   -2.68   -0.73
000.00450    2.11   33.60    2.54    1.83    0.00    0.11    2.54   24.42    3.00    0.00   -2.54   -0.53
000.00475    2.07   33.60    2.55    1.66    0.00    0.11    2.45   20.92    3.00    0.00   -2.40   -0.34
000.005      2.01   33.60    2.51    1.45    0.00    0.12    2.39   17.08    3.00    0.00   -2.26   -0.17
000.00525    1.94   33.60    2.38    1.18    0.00    0.12    2.36   13.00    3.00    0.00   -2.10   -0.03
000.00550    1.87   33.60    2.16    0.88    0.00    0.11    2.36    9.83    4.50    0.00   -1.95    0.06
000.00575    1.85   33.60    1.84    0.58    0.00    0.11    2.39    7.00    4.50    0.00   -1.79    0.10
000.006      1.88   33.60    1.43    0.28    0.00    0.12    2.45    8.02    6.00    0.00   -1.62    0.10
000.00625    1.89   33.60    0.95    0.02    0.00    0.12    2.54    5.83    6.00    0.00   -1.42    0.06
000.00650    1.79   33.60    0.45   -0.19    0.00    0.11    2.66    8.42    3.00    0.00   -1.23   -0.01
000.00675    1.55   33.60   -0.05   -0.33    0.00    0.11    2.79    9.67    3.00    0.00   -1.02   -0.11
000.007      1.19   33.60   -0.50   -0.41    0.00    0.12    2.94   10.67    3.00    0.00   -0.83   -0.22
000.00725    0.75   33.60   -0.86   -0.43    0.00    0.12    3.10   11.33    3.00    0.00   -0.65   -0.34
000.00750    0.31   33.60   -1.15   -0.41    0.00    0.11    3.24   11.58    3.00    0.00   -0.50   -0.46
000.00775   -0.05   33.60   -1.32   -0.35    0.00    0.11    3.39   11.58    3.00    0.00   -0.37   -0.56
000.008     -0.31   33.60   -1.40   -0.27    0.00    0.12    3.52   12.50    1.50    0.00   -0.27   -0.65
000.00825   -0.51   33.60   -1.39   -0.20    0.00    0.12    3.65   11.67    1.50    0.00   -0.19   -0.70
000.00850   -0.67   33.60   -1.32   -0.16    0.00    0.11    3.78   10.83    1.50    0.00   -0.12   -0.74
000.00875   -0.80   33.60   -1.22   -0.14    0.00    0.11    3.89    9.67    1.50    0.00   -0.06   -0.75
000.009     -0.92   33.60   -1.10   -0.16    0.00    0.12    3.99    8.50    1.50    0.00    0.01   -0.75
000.00925   -0.97   33.60   -0.99   -0.22    0.00    0.12    4.07    7.08    6.00    0.00    0.09   -0.74
000.00950   -0.95   33.60   -0.91   -0.30    0.00    0.11    4.14    6.35    6.00    0.00    0.20   -0.72
000.00975   -0.86   33.60   -0.87   -0.39    0.00    0.11    4.19    7.85   13.50    0.00    0.31   -0.69
000.010     -0.71   33.60   -0.86   -0.48    0.00    0.12    4.22    6.52   13.50    0.00    0.43   -0.66
000.01025   -0.53   33.60   -0.89   -0.55    0.00    0.12    4.24    5.07   13.50    0.00    0.54   -0.62
000.01050   -0.41   33.60   -0.93   -0.60    0.00    0.12    4.23    6.47   15.00    0.00    0.64   -0.58
000.01075   -0.35   33.60   -0.97   -0.60    0.00    0.12    4.21    5.20   15.00    0.00    0.71   -0.55
000.011     -0.35   33.60   -0.99   -0.57    0.00    0.13    4.18    3.80   15.00    0.00    0.74   -0.52
000.01125   -0.42   33.60   -0.96   -0.51    0.00    0.13    4.15    5.15   16.50    0.00    0.73   -0.50
000.01150   -0.53   33.60   -0.88   -0.44    0.00    0.12    4.11    4.00   16.50    0.00    0.67   -0.50
000.01175   -0.63   33.60   -0.74   -0.36    0.00    0.12    4.06    4.19   13.50    0.00    0.58   -0.53
000.012     -0.69   33.60   -0.54   -0.31    0.00    0.13    4.03    4.44   13.50    0.00    0.45   -0.57
